יצרן,דגם,שנת יצור,סוג מנוע,נפח מנוע,צריכה - נתוני יצרן,צריכה - מבחן כביש
אאודי,A3,2019,בנזין,2.0,"16.9 ק""מ לליטר","13.5 ק""מ לליטר"
אאודי,Q-5,2019,בנזין,2.0,"13.7 ק""מ לליטר","10 ק""מ לליטר"
אופל,אינסיגניה,2019,בנזין,1.5,"16.4 ק""מ לליטר","11.5 ק""מ לליטר"
אופל,גרנדלנד,2020,בנזין,1.2,"18.9 ק""מ לליטר","12.5 ק""מ לליטר"
אופל,מוקה e,2022,חשמלי,"50 קוט""ש","טווח נסיעה: 338 ק""מצריכת חשמל: 157 וואט-שעה לק""מ","טווח נסיעה: 270 ק""מצריכת חשמל: 185 וואט-שעה לק""מ"
אופל,קומבו,2020,בנזין,1.2 בנזין,"19.2 ק""מ לליטר","12.5 ק""מ לליטר"
אופל,קומבו,2020,בנזין,1.5 דיזל,"23.3 ק""מ לליטר","15.5 ק""מ לליטר"
אופל,קורסה,2020,בנזין,1.2,"22.5 ק""מ לליטר","15.5 ק""מ לליטר"
אופל,קורסה,2021,חשמלי,סוללה 50 KWH,"טווח נסיעה: 335 ק""מצריכת חשמל: 166 וואט-שעה לק""מ","טווח נסיעה: 256 ק""מצריכת חשמל: 195 וואט-שעה לק""מ"
אופל,קרוסלנד,2020,בנזין,1.2,"20 ק""מ לליטר","13.5 ק""מ לליטר"
אופל,קרוסלנד,2022,בנזין,1.2,"16.4 ק""מ לליטר","12.5 ק""מ לליטר"
אייוויז,U5,2021,חשמלי,63 HWh,"טווח נסיעה: 410 ק""מצריכת חשמל: 166 וואט-שעה לק""מ","טווח נסיעה: 350 ק""מצריכת חשמל: 185 וואט-שעה לק""מ"
אם ג'י MG,ZS EV,2020,בנזין,חשמלי,"263 ק""מ לליטר","? ק""מ לליטר"
אם ג'י MG,ZS EV,2021,חשמלי,45.6 KWH,"טווח נסיעה: 263 ק""מצריכת חשמל: 186 וואט-שעה לק""מ","טווח נסיעה: 245 ק""מצריכת חשמל: 180 וואט-שעה לק""מ"
ג'ילי,גיאומטרי C 350,2021,חשמלי,"סוללה 53 קוט""ש","טווח נסיעה: 350 ק""מצריכת חשמל: 165 וואט-שעה לק""מ","טווח נסיעה: 270 ק""מצריכת חשמל: 204 וואט-שעה לק""מ"
ג'ילי,גיאומטרי C 350,2022,חשמלי,"53 קוט""ש","טווח נסיעה: 350 ק""מצריכת חשמל: 165 וואט-שעה לק""מ","טווח נסיעה: 318 ק""מצריכת חשמל: 166 וואט-שעה לק""מ"
ג'ילי,גיאומטרי C 460,2021,חשמלי,"סוללה 70 קוט""ש","טווח נסיעה: ק""מצריכת חשמל: 165 וואט-שעה לק""מ","טווח נסיעה: ק""מצריכת חשמל: 167 וואט-שעה לק""מ"
גנסיס,CV 70,2022,בנזין,2.5,"10.3 ק""מ לליטר","8.5 ק""מ לליטר"
גנסיס,GV 80,2022,דיזל,3.0,"14.9 ק""מ לליטר","11 ק""מ לליטר"
דאצ'יה,דאסטר,2021,בנזין,1.33,"15.6 ק""מ לליטר","13 ק""מ לליטר"
הונדה,CRV,2020,בנזין,1.5,"14 ק""מ לליטר","11 ק""מ לליטר"
הונדה,HRV,2019,בנזין,1.5,"18.8 ק""מ לליטר","14.5 ק""מ לליטר"
הונדה,HRV,2020,בנזין,1.5,"18.8 ק""מ לליטר","14.5 ק""מ לליטר"
הונדה,ג'אז,2020,היברידי בנזין,1.5,"27.7 ק""מ לליטר","22 ק""מ לליטר"
הונדה,סיוויק,2019,בנזין,1.0 טורבו,"21.2 ק""מ לליטר","13.5 ק""מ לליטר"
הונדה,סיוויק,2019,בנזין,1.5 טורבו,"16.6 ק""מ לליטר","12.5 ק""מ לליטר"
הונדה,סיוויק,2020,בנזין,1.5,"16.6 ק""מ לליטר","13 ק""מ לליטר"
הונדה,סיוויק סדאן,2019,בנזין,1.6,"15.8 ק""מ לליטר","13 ק""מ לליטר"
וולוו,XC-40,2021,פלאג אין היברידי,1.5,"47 ק""מ לליטר","21 ק""מ לליטר"
טויוטה,CHR,2019,בנזין,1.8,"25.6 ק""מ לליטר","18.5 ק""מ לליטר"
טויוטה,CHR,2020,בנזין,1.8,"26.9 ק""מ לליטר","18.5 ק""מ לליטר"
טויוטה,CHR,2020,היברידי,1.8,"26.9 ק""מ לליטר","18.5 ק""מ לליטר"
טויוטה,CHR,2021,בנזין - היברידי,1.8,"20.4 ק""מ לליטר","18.5 ק""מ לליטר"
טויוטה,CHR,2022,היברידי,1.8,"20.4 ק""מ לליטר","19.5 ק""מ לליטר"
טויוטה,CHR,2022,היברידי,2022,"ק""מ לליטר","ק""מ לליטר"
טויוטה,אייגו X,2022,בנזין,1.0,"20 ק""מ לליטר","18 ק""מ לליטר"
טויוטה,היילנדר,2021,היברידי,2.5,"14.1 ק""מ לליטר","12.5 ק""מ לליטר"
טויוטה,הילקס,2021,דיזל,2.4,"10.5 ק""מ לליטר","10 ק""מ לליטר"
טויוטה,יאריס,2019-20,בנזין,1.5,"20.4 ק""מ לליטר","15 ק""מ לליטר"
טויוטה,יאריס,2020,היברידי,1.5,"33.3 ק""מ לליטר","24 ק""מ לליטר"
טויוטה,יאריס,2021,בנזין,1.5,"21.3 ק""מ לליטר","17.5 ק""מ לליטר"
טויוטה,יאריס,2021,היברידי,1.5,"25.6 ק""מ לליטר","21 ק""מ לליטר"
טויוטה,יאריס קרוס,2021,היברידי,1.5,"22.7 ק""מ לליטר","21 ק""מ לליטר"
טויוטה,יאריס קרוס,2022,היברידי,1.5,"22.7 ק""מ לליטר","21 ק""מ לליטר"
טויוטה,לנד קרוזר,2021,דיזל,2.8,"10.3 ק""מ לליטר","10 ק""מ לליטר"
טויוטה,פרואייס,2020,דיזל,2.0,"18.2 ק""מ לליטר","12 ק""מ לליטר"
טויוטה,פריוס,2019,בנזין,1.8,"ק""מ לליטר","20 ק""מ לליטר"
טויוטה,פריוס,2021,פלאג-אין הייבריד,1.8,"76.9 ק""מ לליטר","32 ק""מ לליטר"
טויוטה,פריוס פלאג-אין,2020,בנזין,1.8,"76.9 ק""מ לליטר","32 ק""מ לליטר"
טויוטה,פריוס פלוס,2019,בנזין,1.8,"21.7 ק""מ לליטר","17 ק""מ לליטר"
טויוטה,פריוס פלוס,2019,בנזין,היברידי 1.8,"21.7 ק""מ לליטר","17 ק""מ לליטר"
טויוטה,פריוס פלוס,2020,היברידי,1.8,"21.7 ק""מ לליטר","17 ק""מ לליטר"
טויוטה,קאמרי,2020,בנזין,2.5,"23.3 ק""מ לליטר","16.5 ק""מ לליטר"
טויוטה,קאמרי,2021,בנזין היברידי,2.5,"18.5 ק""מ לליטר","17 ק""מ לליטר"
טויוטה,קורולה,2019,בנזין,1.6,"18.2 ק""מ לליטר","12.5 ק""מ לליטר"
טויוטה,קורולה,2019,בנזין,1.8,"29.4 ק""מ לליטר","20 ק""מ לליטר"
טויוטה,קורולה,2019,בנזין,1.8 היברידי,"29.4 ק""מ לליטר","20 ק""מ לליטר"
טויוטה,קורולה,2020,היברידי,1.8,"29.4 ק""מ לליטר","20 ק""מ לליטר"
טויוטה,קורולה,2021,בנזין,1.5,"16.7 ק""מ לליטר","14 ק""מ לליטר"
טויוטה,קורולה,2021,היברידי,1.8,"22.2 ק""מ לליטר","20 ק""מ לליטר"
טויוטה,קורולה,2022,היברידי,1.8,"22.2 ק""מ לליטר","20 ק""מ לליטר"
טויוטה,קורולה Excite,2019,בנזין,1.8,"30.3 ק""מ לליטר","22 ק""מ לליטר"
טויוטה,קורולה Excite,2019,בנזין,1.8 היברידי,"30.3 ק""מ לליטר","22 ק""מ לליטר"
טויוטה,קורולה ספייס SW,2019,בנזין,1.8,"30.3 ק""מ לליטר","21 ק""מ לליטר"
טויוטה,קורולה ספייס SW,2019,בנזין,1.8 היברידי,"30.3 ק""מ לליטר","21 ק""מ לליטר"
טויוטה,קורולה ספייס SW,2020,היברידי,1.8,"30.3 ק""מ לליטר","20 ק""מ לליטר"
טויוטה,קורולה ספייס SW,2021,היברידי,1.8,"21.7 ק""מ לליטר","20 ק""מ לליטר"
טויוטה,קורולה קרוס,2022,בנזין היברידי,1.8,"19.6 ק""מ לליטר","18 ק""מ לליטר"
טויוטה,ראב 4,2019,בנזין,2.5 היברידי,"21.7 ק""מ לליטר","17 ק""מ לליטר"
טויוטה,ראב 4,2019,היברידי,2.5,"21.7 ק""מ לליטר","17 ק""מ לליטר"
טויוטה,ראב 4,2019-20,בנזין,2.5,"17.5 ק""מ לליטר","12 ק""מ לליטר"
טויוטה,ראב 4,2020,בנזין,2.4,"21.7 ק""מ לליטר","17 ק""מ לליטר"
טויוטה,ראב 4,2020,בנזין,2021,"ק""מ לליטר","ק""מ לליטר"
טויוטה,ראב 4,2020,היברידי,2.5,"21.7 ק""מ לליטר","17 ק""מ לליטר"
טויוטה,ראב 4,2021,היברידי,2.5,"17.5 ק""מ לליטר","16.5 ק""מ לליטר"
טויוטה,ראב 4,2022,היברידי,2.5,"17.5 ק""מ לליטר","17 ק""מ לליטר"
יונדאי,i-10,2020,בנזין,1.2,"19 ק""מ לליטר","16 ק""מ לליטר"
יונדאי,i-10,2021,בנזין,1.2,"17.2 ק""מ לליטר","16.5 ק""מ לליטר"
יונדאי,i-10,2022,בנזין,1.2,"17.2 ק""מ לליטר","16 ק""מ לליטר"
יונדאי,i-20,2019,בנזין,1.0,"20 ק""מ לליטר","15 ק""מ לליטר"
יונדאי,i-20,2020,בנזין,1.0,"22.4 ק""מ לליטר","15 ק""מ לליטר"
יונדאי,i-20,2021,בנזין,1.0,"17.5 ק""מ לליטר","16 ק""מ לליטר"
יונדאי,i-20,2022,בנזין,1.0,"17.5 ק""מ לליטר","15.5 ק""מ לליטר"
יונדאי,איוניק,2019,בנזין,1.6,"25.6 ק""מ לליטר","19.5 ק""מ לליטר"
יונדאי,איוניק,2019,בנזין,1.6 - WLTP,"23.5 ק""מ לליטר","19.8 ק""מ לליטר"
יונדאי,איוניק,2020,בנזין,1.6,"27 ק""מ לליטר","20 ק""מ לליטר"
יונדאי,איוניק,2021,היברידי,1.6,"21.7 ק""מ לליטר","20 ק""מ לליטר"
יונדאי,איוניק,2022,היברידי,1.6,"21.7 ק""מ לליטר","20.5 ק""מ לליטר"
יונדאי,איוניק 5,2022,חשמלי,"70 קוט""ש","טווח נסיעה: 480 ק""מצריכת חשמל: 168 וואט-שעה לק""מ","טווח נסיעה: 415 ק""מצריכת חשמל: 167 וואט-שעה לק""מ"
יונדאי,אלנטרה,2019,בנזין,1.6,"13.8 ק""מ לליטר","13 ק""מ לליטר"
יונדאי,אלנטרה,2020,בנזין,1.6,"13.8 ק""מ לליטר","13 ק""מ לליטר"
יונדאי,אלנטרה,2021,היברידי,1.6,"22.7 ק""מ לליטר","22 ק""מ לליטר"
יונדאי,אלנטרה,2022,היברידי,1.6,"22.7 ק""מ לליטר","21 ק""מ לליטר"
יונדאי,אקסנט,2019,בנזין,1.4,"15.2 ק""מ לליטר","13 ק""מ לליטר"
יונדאי,אקסנט,2019,בנזין,1.6,"13.8 ק""מ לליטר","12.5 ק""מ לליטר"
יונדאי,אקסנט,2020,בנזין,1.4,"15.2 ק""מ לליטר","13.5 ק""מ לליטר"
יונדאי,אקסנט,2020,בנזין,1.6,"13.8 ק""מ לליטר","13 ק""מ לליטר"
יונדאי,אקסנט,2021,בנזין,1.4,"15.8 ק""מ לליטר","13.5 ק""מ לליטר"
יונדאי,אקסנט,2022,בנזין,1.4,"15.8 ק""מ לליטר","13 ק""מ לליטר"
יונדאי,אקסנט,2022,בנזין,1.6,"14.4 ק""מ לליטר","13 ק""מ לליטר"
יונדאי,באיון,2022,בנזין,1.0,"18.1 ק""מ לליטר","14.5 ק""מ לליטר"
יונדאי,באיון,2022,בנזין מייל היברידי,1.0,"18.5 ק""מ לליטר","15 ק""מ לליטר"
יונדאי,ווניו,2020,בנזין,1.6,"16.1 ק""מ לליטר","14 ק""מ לליטר"
יונדאי,ווניו,2021,בנזין,1.6,"15.1 ק""מ לליטר","13 ק""מ לליטר"
יונדאי,ווניו,2022,בנזין,1.6,"15.1 ק""מ לליטר","13 ק""מ לליטר"
יונדאי,טוסון,2019,בנזין,2.0,"11.9 ק""מ לליטר","10 ק""מ לליטר"
יונדאי,טוסון,2020,בנזין,2.0,"11 ק""מ לליטר","10.5 ק""מ לליטר"
יונדאי,טוסון,2020,היברידי,2.0,"ק""מ לליטר","ק""מ לליטר"
יונדאי,טוסון,2021,בנזין,2.0,"12.2 ק""מ לליטר","11 ק""מ לליטר"
יונדאי,טוסון,2021,בנזין טורבו,1.6,"14 ק""מ לליטר","11.5 ק""מ לליטר"
יונדאי,טוסון,2022,בנזין,1.6,"13.8 ק""מ לליטר","12 ק""מ לליטר"
יונדאי,טוסון,2022,בנזין 2.0,2.0,"12.2 ק""מ לליטר","11 ק""מ לליטר"
יונדאי,סונטה,2019,היברידי בנזין,2.0,"22.7 ק""מ לליטר","17 ק""מ לליטר"
יונדאי,סונטה,2020,היברידי בנזין,2.0,"20.7 ק""מ לליטר","18 ק""מ לליטר"
יונדאי,סונטה,2021,בנזין טורבו,1.6,"13 ק""מ לליטר","12 ק""מ לליטר"
יונדאי,סונטה,2022,היברידי,2.0,"20.2 ק""מ לליטר","20 ק""מ לליטר"
יונדאי,סונטה,2022,טורבו בנזין,1.6,"13 ק""מ לליטר","12 ק""מ לליטר"
יונדאי,סטאריה,2022,דיזל,2.2,"12.1 ק""מ לליטר","11 ק""מ לליטר"
יונדאי,סנטה פה,2019,בנזין,בנזין 2.4,"10.7 ק""מ לליטר","10 ק""מ לליטר"
יונדאי,סנטה פה,2020,בנזין,בנזין 2.4,"10.7 ק""מ לליטר","10 ק""מ לליטר"
יונדאי,סנטה פה,2021,דיזל,2.2,"15.6 ק""מ לליטר","12 ק""מ לליטר"
יונדאי,סנטה פה,2022,טורבו דיזל,2.2,"15.6 ק""מ לליטר","12.5 ק""מ לליטר"
יונדאי,קונה,2020,בנזין,1.6,"15.7 ק""מ לליטר","11.5 ק""מ לליטר"
יונדאי,קונה,2020,היברידית,1.6,"26.6 ק""מ לליטר","20 ק""מ לליטר"
יונדאי,קונה,2021,בנזין,1.6,"15.1 ק""מ לליטר","13 ק""מ לליטר"
יונדאי,קונה,2021,חשמלי,100 קילוואט,"טווח נסיעה: 305 ק""מצריכת חשמל: 143 וואט-שעה לק""מ","טווח נסיעה: 267 ק""מצריכת חשמל: 147 וואט-שעה לק""מ"
יונדאי,קונה,2022,בנזין,1.6,"14.9 ק""מ לליטר","12.5 ק""מ לליטר"
יונדאי,קונה,2022,היברידי,1.6,"25.6 ק""מ לליטר","21 ק""מ לליטר"
יונדאי,קונה,2022,חשמלי,100 קילו ואט,"טווח נסיעה: 305 ק""מצריכת חשמל: 143 וואט-שעה לק""מ","טווח נסיעה: 270 ק""מצריכת חשמל: 142 וואט-שעה לק""מ"
לנד רובר,רינג'-רובר אבוק,2019,בנזין,בנזין 2.0,"12.6 ק""מ לליטר","10 ק""מ לליטר"
לקסוס,NX,2022,היברידי- 350,2.5,"17.5 ק""מ לליטר","15.5 ק""מ לליטר"
לקסוס,NX,2022,פלאג-אין היברידי 450,2.5,"25 ק""מ לליטר","20 ק""מ לליטר"
לקסוס,NX-350h,2022,היברידי,2.5,"17.5 ק""מ לליטר","15.5 ק""מ לליטר"
לקסוס,UX,2021,חשמלי,סוללה 54 KWH,"טווח נסיעה: 315 ק""מצריכת חשמל: 168 וואט-שעה לק""מ","טווח נסיעה: 270 ק""מצריכת חשמל: 185 וואט-שעה לק""מ"
מאזדה,2,2022,בנזין,1.5,"15.8 ק""מ לליטר","14 ק""מ לליטר"
מאזדה,3,2019,בנזין,2.0,"16 ק""מ לליטר","12.5 ק""מ לליטר"
מאזדה,3,2020,בנזין,2.0,"16 ק""מ לליטר","12.5 ק""מ לליטר"
מאזדה,3,2022,בנזין,2.0,"13.8 ק""מ לליטר","12.5 ק""מ לליטר"
מאזדה,6,2019,בנזין,2.0,"15.2 ק""מ לליטר","13 ק""מ לליטר"
מאזדה,CX30,2020,בנזין,2.0,"15 ק""מ לליטר","12 ק""מ לליטר"
מאזדה,CX5,2019,בנזין,בנזין 2.0,"14.3 ק""מ לליטר","12 ק""מ לליטר"
מאזדה,CX5,2021,בנזין,2.0,"12.8 ק""מ לליטר","12 ק""מ לליטר"
מיצובישי,ASX,2019,בנזין,2.0,"13.7 ק""מ לליטר","11.5 ק""מ לליטר"
מיצובישי,ASX,2020,בנזין,2.0,"14.7 ק""מ לליטר","12.5 ק""מ לליטר"
מיצובישי,אאוטלנדר,2019,בנזין,2.0,"14 ק""מ לליטר","12.5 ק""מ לליטר"
מיצובישי,אאוטלנדר,2020,בנזין,2.0,"14 ק""מ לליטר","11.5 ק""מ לליטר"
מיצובישי,אאוטלנדר,2021,בנזין,2.5,"11.5 ק""מ לליטר","10.5 ק""מ לליטר"
מיצובישי,אאוטלנדר,2022,בנזין,2.5,"11.5 ק""מ לליטר","11 ק""מ לליטר"
מיצובישי,אטראג',2020,בנזין,1.2,"20 ק""מ לליטר","16 ק""מ לליטר"
מיצובישי,אקליפס קרוס,2019,בנזין,1.5,"20 ק""מ לליטר","15.5 ק""מ לליטר"
מיצובישי,אקליפס קרוס,2020,בנזין,1.5,"14.4 ק""מ לליטר","12 ק""מ לליטר"
